,Open,High,Low,Close,Volume
2003-01-02,319000.0,323000.0,315000.0,321500.0,511660.0
2003-01-03,335000.0,350000.0,332000.0,344000.0,1110675.0
2003-01-06,347000.0,351500.0,344000.0,349500.0,499437.0
2003-01-07,359000.0,359000.0,342000.0,342500.0,577944.0
2003-01-08,346000.0,346500.0,338500.0,340000.0,504232.0
2003-01-09,331000.0,333000.0,321000.0,323000.0,1505829.0
2003-01-10,330000.0,332500.0,317000.0,324000.0,1252880.0
2003-01-13,320000.0,334500.0,318500.0,334500.0,628932.0
2003-01-14,330000.0,332500.0,325000.0,328500.0,526476.0
2003-01-15,330000.0,333500.0,322000.0,324000.0,654733.0
2003-01-16,320000.0,330000.0,316000.0,330000.0,807630.0
2003-01-17,327500.0,328500.0,320500.0,320500.0,488166.0
2003-01-20,312000.0,321000.0,312000.0,320000.0,372232.0
2003-01-21,318000.0,320000.0,314500.0,319000.0,533585.0
2003-01-22,314500.0,318500.0,309000.0,311500.0,653428.0
2003-01-23,311500.0,318500.0,307500.0,316000.0,734049.0
2003-01-24,316000.0,317000.0,306500.0,313000.0,668930.0
2003-01-27,301000.0,305000.0,298500.0,299000.0,929328.0
2003-01-28,299000.0,307000.0,299000.0,307000.0,528687.0
2003-01-29,303500.0,306500.0,290000.0,291500.0,930489.0
2003-01-30,293000.0,295500.0,289500.0,291500.0,701387.0
2003-02-03,289000.0,294500.0,286000.0,293000.0,573437.0
2003-02-04,293000.0,298000.0,292000.0,294000.0,817051.0
2003-02-05,289000.0,295500.0,289000.0,291000.0,428657.0
2003-02-06,290500.0,292000.0,281500.0,283000.0,769287.0
2003-02-07,280000.0,282000.0,270000.0,274000.0,973941.0
2003-02-10,271000.0,273000.0,267500.0,269500.0,787848.0
2003-02-11,270000.0,275500.0,259500.0,271500.0,1041094.0
2003-02-12,266000.0,280000.0,266000.0,280000.0,762056.0
2003-02-13,279000.0,280500.0,271500.0,271500.0,778704.0
2003-02-14,270000.0,273000.0,266000.0,273000.0,634666.0
2003-02-17,282000.0,292000.0,280000.0,290500.0,863122.0
2003-02-18,291000.0,293500.0,286000.0,293000.0,506335.0
2003-02-19,300000.0,308000.0,297000.0,297000.0,990908.0
2003-02-20,294000.0,303000.0,294000.0,302500.0,668674.0
2003-02-21,305000.0,305000.0,299500.0,302000.0,429893.0
2003-02-24,303000.0,314000.0,303000.0,309500.0,660009.0
2003-02-25,300000.0,302000.0,289500.0,289500.0,949327.0
2003-02-26,289500.0,292000.0,282500.0,284000.0,659611.0
2003-02-27,280000.0,285500.0,276000.0,283500.0,759059.0
2003-02-28,283500.0,287000.0,279000.0,279500.0,409838.0
2003-03-03,279500.0,295000.0,279500.0,295000.0,510466.0
2003-03-04,287500.0,289000.0,282500.0,285000.0,508102.0
2003-03-05,278000.0,279500.0,273000.0,276000.0,668456.0
2003-03-06,279000.0,279000.0,271500.0,276000.0,382243.0
2003-03-07,273000.0,285000.0,270000.0,281000.0,793785.0
2003-03-10,284500.0,289000.0,282000.0,286500.0,584297.0
2003-03-11,284500.0,290000.0,280000.0,287500.0,1031421.0
2003-03-12,287500.0,291500.0,286500.0,290000.0,1011632.0
2003-03-13,290500.0,291500.0,282500.0,290000.0,1076920.0
2003-03-14,299000.0,303000.0,293000.0,296500.0,765947.0
2003-03-17,296500.0,297000.0,282000.0,288000.0,770011.0
2003-03-18,299500.0,301500.0,293500.0,299000.0,842759.0
2003-03-19,296000.0,301000.0,294000.0,296000.0,587196.0
2003-03-20,300000.0,311500.0,298000.0,311500.0,1190038.0
2003-03-21,311500.0,316500.0,308500.0,315000.0,623172.0
2003-03-24,317000.0,317000.0,311000.0,312500.0,830822.0
2003-03-25,307000.0,307000.0,303000.0,306000.0,884295.0
2003-03-26,308000.0,310500.0,303000.0,304000.0,902893.0
2003-03-27,299000.0,302500.0,296500.0,298500.0,482682.0
2003-03-28,299000.0,307000.0,296500.0,307000.0,664470.0
2003-03-31,298000.0,300000.0,284000.0,284000.0,928851.0
2003-04-01,278000.0,284000.0,274000.0,284000.0,994684.0
2003-04-02,285000.0,287000.0,277500.0,279000.0,1206928.0
2003-04-03,286000.0,287500.0,279000.0,279000.0,1184791.0
2003-04-04,276000.0,285500.0,272000.0,283500.0,1075290.0
2003-04-07,288000.0,300500.0,285500.0,299000.0,995761.0
2003-04-08,292000.0,301500.0,291000.0,299000.0,808535.0
2003-04-09,292000.0,294000.0,286000.0,286500.0,849424.0
2003-04-10,286500.0,291000.0,283500.0,288000.0,1081435.0
2003-04-11,285000.0,294000.0,284500.0,285000.0,793342.0
2003-04-14,283500.0,294000.0,283500.0,285500.0,703508.0
2003-04-15,293000.0,296500.0,290500.0,296000.0,705281.0
2003-04-16,305000.0,312500.0,303500.0,310500.0,1101778.0
2003-04-17,307000.0,310500.0,302000.0,302000.0,685584.0
2003-04-18,310500.0,315000.0,303000.0,315000.0,815768.0
2003-04-21,312000.0,317000.0,308500.0,309000.0,409736.0
2003-04-22,305000.0,307000.0,297500.0,298500.0,713899.0
2003-04-23,302500.0,305500.0,299000.0,300000.0,473874.0
2003-04-24,299000.0,302000.0,292000.0,295000.0,476185.0
2003-04-25,290000.0,292000.0,285000.0,287500.0,715217.0
2003-04-28,284500.0,292000.0,283000.0,285000.0,544833.0
2003-04-29,293500.0,301500.0,291000.0,300500.0,624782.0
2003-04-30,302000.0,306500.0,299500.0,305000.0,640825.0
2003-05-02,305000.0,310000.0,300500.0,307000.0,822432.0
2003-05-06,310500.0,316000.0,310500.0,313000.0,718481.0
2003-05-07,317000.0,320000.0,310000.0,319500.0,983272.0
2003-05-09,316000.0,318500.0,313000.0,317000.0,457465.0
2003-05-12,325000.0,329500.0,323000.0,327000.0,732201.0
2003-05-13,327000.0,327000.0,314500.0,316000.0,587863.0
2003-05-14,313000.0,315000.0,308500.0,309500.0,489339.0
2003-05-15,312000.0,317000.0,307500.0,315000.0,570203.0
2003-05-16,313000.0,315500.0,307000.0,307000.0,628116.0
2003-05-19,302500.0,304500.0,299000.0,301000.0,621857.0
2003-05-20,296000.0,307000.0,295500.0,306500.0,470063.0
2003-05-21,304500.0,308500.0,302500.0,304000.0,409584.0
2003-05-22,301500.0,308500.0,298500.0,300000.0,493025.0
2003-05-23,304000.0,312500.0,303500.0,312000.0,428916.0
2003-05-26,312000.0,318500.0,308500.0,317000.0,424448.0
2003-05-27,315000.0,318000.0,311500.0,314000.0,256878.0
2003-05-28,324000.0,325500.0,318500.0,321000.0,690768.0
2003-05-29,321000.0,327000.0,318000.0,324500.0,682639.0
2003-05-30,324500.0,325500.0,320000.0,324000.0,463912.0
2003-06-02,329000.0,335000.0,329000.0,334000.0,664300.0
2003-06-03,327500.0,330000.0,323500.0,323500.0,535555.0
2003-06-04,326000.0,329000.0,321500.0,329000.0,408638.0
2003-06-05,333000.0,336500.0,331000.0,333500.0,547025.0
2003-06-09,336500.0,344500.0,334500.0,344000.0,778190.0
2003-06-10,340000.0,347000.0,339000.0,344000.0,413612.0
2003-06-11,348000.0,352500.0,344000.0,345000.0,550459.0
2003-06-12,350000.0,352000.0,347500.0,350000.0,907935.0
2003-06-13,354000.0,356000.0,348500.0,350500.0,596326.0
2003-06-16,345000.0,348000.0,341000.0,341000.0,381201.0
2003-06-17,353000.0,357500.0,349500.0,357000.0,842487.0
2003-06-18,351500.0,359000.0,351500.0,354000.0,387127.0
2003-06-19,360000.0,375000.0,357000.0,370000.0,963478.0
2003-06-20,365000.0,370000.0,364000.0,364000.0,467592.0
2003-06-23,364000.0,365000.0,356000.0,357000.0,411382.0
2003-06-24,350000.0,352500.0,349000.0,351500.0,457725.0
2003-06-25,352500.0,360500.0,351000.0,359500.0,345721.0
2003-06-26,352500.0,367500.0,352500.0,364500.0,345345.0
2003-06-27,367000.0,370500.0,361000.0,361000.0,455494.0
2003-06-30,358000.0,360500.0,353500.0,355000.0,312166.0
2003-07-01,355000.0,362500.0,352000.0,362000.0,260070.0
2003-07-02,369500.0,371000.0,365500.0,371000.0,519844.0
2003-07-03,382000.0,391000.0,379000.0,382000.0,1174700.0
2003-07-04,381500.0,385500.0,379000.0,384000.0,251301.0
2003-07-07,387000.0,387500.0,383500.0,386000.0,296037.0
2003-07-08,399500.0,400000.0,395500.0,398500.0,1244668.0
2003-07-09,399000.0,399500.0,394500.0,396500.0,377390.0
2003-07-10,394000.0,398000.0,392000.0,392000.0,513570.0
2003-07-11,388000.0,394000.0,385000.0,394000.0,449282.0
2003-07-14,395000.0,410500.0,394500.0,409500.0,934227.0
